,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,PRR32,1,1,149,0.7%,"No
"
1,ASPM,1,1,149,0.7%,"No
"
2,FOXD2,1,1,149,0.7%,"No
"
3,FOXM1,1,1,149,0.7%,"No
"
4,PVR,1,1,149,0.7%,"No
"
5,LTB4R2,1,1,149,0.7%,"No
"
6,CSNK2A1,1,1,149,0.7%,"No
"
7,FOXE1,1,1,149,0.7%,"No
"
8,RALGAPA1,1,1,149,0.7%,"No
"
9,CFAP90,1,1,149,0.7%,"No
"
10,SPINT2,1,1,149,0.7%,"No
"
11,INPP5D,1,1,149,0.7%,"Yes
"
12,YKT6,1,1,149,0.7%,"No
"
13,FLNA,1,1,149,0.7%,"No
"
14,A2M,1,1,149,0.7%,"No
"
15,GNS,1,1,149,0.7%,"No
"
16,FLG,2,2,149,1.3%,"No
"
17,ZNF425,1,1,149,0.7%,"No
"
18,IRF4,1,1,149,0.7%,"Yes
"
19,GALNTL5,1,1,149,0.7%,"No
"
20,NKX2-5,1,1,149,0.7%,"No
"
21,ATG2B,1,1,149,0.7%,"No
"
22,FLT3LG,1,1,149,0.7%,"No
"
23,STAU2,1,1,149,0.7%,"No
"
24,TMEM132D,1,1,149,0.7%,"No
"
25,ILDR2,1,1,149,0.7%,"No
"
26,PCYT2,1,1,149,0.7%,"No
"
27,PGA3,1,1,149,0.7%,"No
"
28,NLRP12,1,1,149,0.7%,"No
"
29,FNTA,1,1,149,0.7%,"No
"
30,AFF2,1,1,149,0.7%,"No
"
31,RNPC3,1,1,149,0.7%,"No
"
32,IRF6,1,1,149,0.7%,"No
"
33,PRPF38B,2,2,149,1.3%,"No
"
34,LRGUK,1,1,149,0.7%,"No
"
35,IRS1,1,1,149,0.7%,"Yes
"
36,YTHDF3,1,1,149,0.7%,"No
"
37,IGF2BP2,1,1,149,0.7%,"No
"
38,ADAMTS17,1,1,149,0.7%,"No
"
39,CDK7,1,1,149,0.7%,"No
"
40,HOXA3,1,1,149,0.7%,"Yes
"
41,PPP1R15B,1,1,149,0.7%,"No
"
42,FOLR3,1,1,149,0.7%,"No
"
43,FOLR2,1,1,149,0.7%,"No
"
44,ZNF785,1,1,149,0.7%,"No
"
45,TTC13,1,1,149,0.7%,"No
"
46,UTP4,1,1,149,0.7%,"No
"
47,SPTA1,1,1,149,0.7%,"No
"
48,PELP1,1,1,149,0.7%,"No
"
49,EPS8L3,2,2,149,1.3%,"No
"
50,FOLR1,1,1,149,0.7%,"No
"
51,SPTAN1,1,1,149,0.7%,"No
"
52,CDH15,1,1,149,0.7%,"No
"
53,CTNNA2,1,1,149,0.7%,"No
"
54,RBAK,1,1,149,0.7%,"No
"
55,VPS13B,3,3,149,2.0%,"No
"
56,ITGA7,2,2,149,1.3%,"No
"
57,PDLIM5,1,1,149,0.7%,"No
"
58,MTIF2,1,1,149,0.7%,"No
"
59,ITGB3,1,1,149,0.7%,"No
"
60,CDKN3,1,1,149,0.7%,"No
"
61,FRYL,1,1,149,0.7%,"No
"
62,TRIM16,1,1,149,0.7%,"No
"
63,PRSS57,1,1,149,0.7%,"No
"
64,ITGAX,1,1,149,0.7%,"No
"
65,ERICH1,1,1,149,0.7%,"No
"
66,SRP68,1,1,149,0.7%,"No
"
67,HOXC4,1,1,149,0.7%,"No
"
68,ARMH3,1,1,149,0.7%,"No
"
69,TAS2R43,1,1,149,0.7%,"No
"
70,TAS2R40,1,1,149,0.7%,"No
"
71,INTS1,1,1,149,0.7%,"No
"
72,CDR2,1,1,149,0.7%,"No
"
73,RBM23,1,1,149,0.7%,"No
"
74,ITGB8,1,1,149,0.7%,"No
"
75,GAL3ST2,1,1,149,0.7%,"No
"
76,POPDC2,1,1,149,0.7%,"No
"
77,MTTP,1,1,149,0.7%,"No
"
78,SMOC1,1,1,149,0.7%,"No
"
79,BICDL1,1,1,149,0.7%,"No
"
80,RAF1,1,1,149,0.7%,"Yes
"
81,PNN,1,1,149,0.7%,"No
"
82,FAM149B1,1,1,149,0.7%,"No
"
83,SPRYD3,1,1,149,0.7%,"No
"
84,SLC52A2,1,1,149,0.7%,"No
"
85,TMEM209,1,1,149,0.7%,"No
"
86,TAS2R20,1,1,149,0.7%,"No
"
87,DARS2,1,1,149,0.7%,"No
"
88,MLH3,1,1,149,0.7%,"No
"
89,NPHP3,1,1,149,0.7%,"No
"
90,RCN3,1,1,149,0.7%,"No
"
91,TBL3,1,1,149,0.7%,"No
"
92,ZNF286A,1,1,149,0.7%,"No
"
93,RSPO2,1,1,149,0.7%,"Yes
"
94,BDKRB2,1,1,149,0.7%,"No
"
95,RAD21,1,1,149,0.7%,"Yes
"
96,CACNA1H,1,1,149,0.7%,"No
"
97,RAD23A,1,1,149,0.7%,"No
"
98,SRPRA,1,1,149,0.7%,"No
"
99,CACNA1I,1,1,149,0.7%,"No
"
100,POLA1,2,2,149,1.3%,"No
"
101,CLDN14,1,1,149,0.7%,"No
"
102,CHST5,1,1,149,0.7%,"No
"
103,CENPF,1,1,149,0.7%,"No
"
104,BROX,1,1,149,0.7%,"No
"
105,DOK3,1,1,149,0.7%,"No
"
106,HOXD9,1,1,149,0.7%,"No
"
107,C2CD4C,1,1,149,0.7%,"No
"
108,CEL,1,1,149,0.7%,"No
"
109,HERC2,1,1,149,0.7%,"No
"
110,ABCC4,1,1,149,0.7%,"No
"
111,KATNA1,1,1,149,0.7%,"No
"
112,CADM2,1,1,149,0.7%,"No
"
113,SSC5D,1,1,149,0.7%,"No
"
114,HERC1,1,1,149,0.7%,"No
"
115,PRDM7,1,1,149,0.7%,"No
"
116,DENND2B,1,1,149,0.7%,"No
"
117,HPR,1,1,149,0.7%,"No
"
118,ZNF280B,1,1,149,0.7%,"No
"
119,STRIP1,1,1,149,0.7%,"No
"
120,NANOG,1,1,149,0.7%,"No
"
121,OBSCN,2,2,149,1.3%,"No
"
122,ZFC3H1,2,2,149,1.3%,"No
"
123,SPEF2,1,1,149,0.7%,"No
"
124,MAGEB10,1,1,149,0.7%,"No
"
125,TRIM37,1,1,149,0.7%,"No
"
126,ZBTB9,1,1,149,0.7%,"No
"
127,RBM48,1,1,149,0.7%,"No
"
128,STAT1,1,1,149,0.7%,"Yes
"
129,DCAF8L1,1,1,149,0.7%,"No
"
130,STAT3,1,1,149,0.7%,"Yes
"
131,MAPK8IP2,1,1,149,0.7%,"No
"
132,ANKLE1,1,1,149,0.7%,"No
"
133,SLAMF8,1,1,149,0.7%,"No
"
134,DYNC1LI1,1,1,149,0.7%,"No
"
135,CHST12,1,1,149,0.7%,"No
"
136,PAQR6,1,1,149,0.7%,"No
"
137,MUC6,1,1,149,0.7%,"No
"
138,PLEKHN1,1,1,149,0.7%,"No
"
139,TRPV6,1,1,149,0.7%,"No
"
140,DENND1C,1,1,149,0.7%,"No
"
141,SLC35E3,1,1,149,0.7%,"No
"
142,STAU1,1,1,149,0.7%,"No
"
143,WBP1,1,1,149,0.7%,"No
"
144,STC1,1,1,149,0.7%,"No
"
145,MAN2C1,1,1,149,0.7%,"No
"
146,TSPAN15,1,1,149,0.7%,"No
"
147,CDYL2,1,1,149,0.7%,"No
"
148,SMPD3,1,1,149,0.7%,"No
"
149,ADGRV1,2,2,149,1.3%,"No
"
150,SAGE1,1,1,149,0.7%,"No
"
151,DST,2,2,149,1.3%,"No
"
152,WDR74,1,1,149,0.7%,"No
"
153,RGPD4,1,1,149,0.7%,"No
"
154,POR,1,1,149,0.7%,"No
"
155,ZNF74,1,1,149,0.7%,"No
"
156,ZNF75A,1,1,149,0.7%,"No
"
157,SCRN1,1,1,149,0.7%,"No
"
158,ARHGAP45,1,1,149,0.7%,"No
"
159,ENKD1,1,1,149,0.7%,"No
"
160,STK10,1,1,149,0.7%,"No
"
161,MAP1B,1,1,149,0.7%,"No
"
162,ATXN1,1,1,149,0.7%,"No
"
163,USP13,1,1,149,0.7%,"No
"
164,GMEB1,1,1,149,0.7%,"No
"
165,CSMD1,2,2,149,1.3%,"No
"
166,ARMC3,1,1,149,0.7%,"No
"
167,ATP6V1C2,1,1,149,0.7%,"No
"
168,ALDH16A1,1,1,149,0.7%,"No
"
169,PRG4,1,1,149,0.7%,"No
"
170,CROT,1,1,149,0.7%,"No
"
171,CPED1,1,1,149,0.7%,"No
"
172,MYO15A,1,1,149,0.7%,"No
"
173,SATB1,1,1,149,0.7%,"No
"
174,STK3,1,1,149,0.7%,"No
"
175,GIT2,1,1,149,0.7%,"No
"
176,POU4F2,1,1,149,0.7%,"No
"
177,POU4F3,1,1,149,0.7%,"No
"
178,ZNF85,1,1,149,0.7%,"No
"
179,CWC22,1,1,149,0.7%,"No
"
180,WDFY4,1,1,149,0.7%,"No
"
181,PRAG1,1,1,149,0.7%,"No
"
182,PIP4P2,1,1,149,0.7%,"No
"
183,DENND1A,1,1,149,0.7%,"No
"
184,MARK3,1,1,149,0.7%,"No
"
185,MARS1,1,1,149,0.7%,"No
"
186,HORMAD1,1,1,149,0.7%,"No
"
187,SLC43A1,2,2,149,1.3%,"No
"
188,MAT2A,1,1,149,0.7%,"No
"
189,PPEF1,1,1,149,0.7%,"No
"
190,PPFIA1,1,1,149,0.7%,"No
"
191,HSF4,1,1,149,0.7%,"No
"
192,BRS3,1,1,149,0.7%,"No
"
193,ELMOD1,1,1,149,0.7%,"No
"
194,JADE1,1,1,149,0.7%,"No
"
195,LRP1B,4,4,149,2.7%,"Yes
"
196,BPY2C,1,1,149,0.7%,"No
"
197,UMODL1,1,1,149,0.7%,"No
"
198,MED1,1,1,149,0.7%,"No
"
199,WASL,1,1,149,0.7%,"No
"
200,QRICH2,1,1,149,0.7%,"No
"
201,ARHGEF17,1,1,149,0.7%,"No
"
202,RIMBP2,1,1,149,0.7%,"No
"
203,CFAP47,1,1,149,0.7%,"No
"
204,LRRC8B,1,1,149,0.7%,"No
"
205,HEPH,1,1,149,0.7%,"No
"
206,SCN7A,1,1,149,0.7%,"No
"
207,SCN9A,2,2,149,1.3%,"No
"
208,MC1R,1,1,149,0.7%,"No
"
209,OTUD1,1,1,149,0.7%,"No
"
210,ZFYVE26,1,1,149,0.7%,"No
"
211,SPACA1,1,1,149,0.7%,"No
"
212,SIGLEC11,1,1,149,0.7%,"No
"
213,ABCD1,2,2,149,1.3%,"No
"
214,SNTG1,1,1,149,0.7%,"No
"
215,RRAGA,1,1,149,0.7%,"No
"
216,ALDH1B1,1,1,149,0.7%,"No
"
217,NEXN,1,1,149,0.7%,"No
"
218,NAV3,1,1,149,0.7%,"No
"
219,AVIL,1,1,149,0.7%,"No
"
220,MORC3,1,1,149,0.7%,"No
"
221,PPL,1,1,149,0.7%,"No
"
222,FARP2,1,1,149,0.7%,"No
"
223,OTX2,1,1,149,0.7%,"No
"
224,SCRIB,1,1,149,0.7%,"No
"
225,IPO11,1,1,149,0.7%,"No
"
226,FRMD1,1,1,149,0.7%,"No
"
227,PLCE1,1,1,149,0.7%,"No
"
228,SPTBN4,2,2,149,1.3%,"No
"
229,SVEP1,1,1,149,0.7%,"No
"
230,ISM1,1,1,149,0.7%,"No
"
231,ALDOB,1,1,149,0.7%,"No
"
232,ADAMTSL1,2,2,149,1.3%,"No
"
233,CCT8L2,1,1,149,0.7%,"No
"
234,DIS3L2,1,1,149,0.7%,"No
"
235,MCM6,1,1,149,0.7%,"No
"
236,CPZ,1,1,149,0.7%,"No
"
237,MAGI2,1,1,149,0.7%,"No
"
238,ANO3,1,1,149,0.7%,"No
"
239,ANTXR2,1,1,149,0.7%,"No
"
240,PTBP2,1,1,149,0.7%,"No
"
241,FERD3L,1,1,149,0.7%,"No
"
242,CEP170,1,1,149,0.7%,"No
"
243,NEUROG3,1,1,149,0.7%,"No
"
244,ZNF135,1,1,149,0.7%,"No
"
245,FOXQ1,1,1,149,0.7%,"No
"
246,ZC3H11A,1,1,149,0.7%,"No
"
247,PA2G4,1,1,149,0.7%,"No
"
248,PORCN,1,1,149,0.7%,"No
"
249,NMNAT2,1,1,149,0.7%,"No
"
250,ALOX12B,1,1,149,0.7%,"Yes
"
251,ALPI,1,1,149,0.7%,"No
"
252,TRIP6,1,1,149,0.7%,"No
"
253,ADAMTS20,2,2,149,1.3%,"No
"
254,FCSK,1,1,149,0.7%,"No
"
255,CXCL6,1,1,149,0.7%,"No
"
256,LRRC37A,1,1,149,0.7%,"No
"
257,TRPC3,1,1,149,0.7%,"No
"
258,TSHZ1,1,1,149,0.7%,"No
"
259,ME1,1,1,149,0.7%,"No
"
260,PCSK6,1,1,149,0.7%,"No
"
261,RECQL4,1,1,149,0.7%,"Yes
"
262,PAFAH1B1,1,1,149,0.7%,"No
"
263,PDZRN3,1,1,149,0.7%,"No
"
264,AIDA,1,1,149,0.7%,"No
"
265,BUD23,1,1,149,0.7%,"No
"
266,DCLRE1B,1,1,149,0.7%,"No
"
267,FBN3,1,1,149,0.7%,"No
"
268,SNRNP200,1,1,149,0.7%,"No
"
269,MEGF10,1,1,149,0.7%,"No
"
270,ABHD15,1,1,149,0.7%,"No
"
271,PALLD,1,1,149,0.7%,"No
"
272,THSD1,1,1,149,0.7%,"No
"
273,THOC5,1,1,149,0.7%,"No
"
274,TELO2,2,2,149,1.3%,"No
"
275,MIEF2,1,1,149,0.7%,"No
"
276,TECPR2,1,1,149,0.7%,"No
"
277,ARMCX5,1,1,149,0.7%,"No
"
278,METTL4,1,1,149,0.7%,"No
"
279,SDHA,1,1,149,0.7%,"Yes
"
280,PRRC1,1,1,149,0.7%,"No
"
281,C1ORF68,1,1,149,0.7%,"No
"
282,RUNDC1,1,1,149,0.7%,"No
"
283,AMHR2,1,1,149,0.7%,"No
"
284,PRR14L,1,1,149,0.7%,"No
"
285,DOP1A,1,1,149,0.7%,"No
"
286,ATCAY,2,2,149,1.3%,"No
"
287,TRPS1,1,1,149,0.7%,"No
"
288,ZNF606,1,1,149,0.7%,"No
"
289,PAK3,1,1,149,0.7%,"Yes
"
290,SORBS3,1,1,149,0.7%,"No
"
291,GPR160,1,1,149,0.7%,"No
"
292,EXOC3L1,1,1,149,0.7%,"No
"
293,EIF2D,1,1,149,0.7%,"No
"
294,DDX23,1,1,149,0.7%,"No
"
295,EEF1D,1,1,149,0.7%,"No
"
296,CHST2,2,2,149,1.3%,"No
"
297,CDH24,1,1,149,0.7%,"No
"
298,SPEN,1,1,149,0.7%,"Yes
"
299,MACF1,4,4,149,2.7%,"No
"
300,BRWD3,1,1,149,0.7%,"No
"
301,ATAD3C,1,1,149,0.7%,"No
"
302,ANK2,1,1,149,0.7%,"No
"
303,ANK3,1,1,149,0.7%,"No
"
304,CES3,1,1,149,0.7%,"No
"
305,JAKMIP1,1,1,149,0.7%,"No
"
306,ESF1,1,1,149,0.7%,"No
"
307,LARP7,1,1,149,0.7%,"No
"
308,GPR68,1,1,149,0.7%,"No
"
309,ZNF440,1,1,149,0.7%,"No
"
310,MIER3,2,2,149,1.3%,"No
"
311,SLC25A4,1,1,149,0.7%,"No
"
312,SLC25A5,1,1,149,0.7%,"No
"
313,PARP15,1,1,149,0.7%,"No
"
314,PHF3,1,1,149,0.7%,"No
"
315,MEGF8,1,1,149,0.7%,"No
"
316,GOLGA2,1,1,149,0.7%,"No
"
317,ABCA5,1,1,149,0.7%,"No
"
318,PLXNC1,2,2,149,1.3%,"No
"
319,CEBPZ,1,1,149,0.7%,"No
"
320,ATAD5,3,3,149,2.0%,"No
"
321,MED23,1,1,149,0.7%,"No
"
322,TRIM28,1,1,149,0.7%,"No
"
323,PHF20L1,2,2,149,1.3%,"No
"
324,GOLGB1,1,1,149,0.7%,"No
"
325,APH1A,1,1,149,0.7%,"Yes
"
326,EGFR,1,1,149,0.7%,"Yes
"
327,INO80,1,1,149,0.7%,"No
"
328,TMCO2,1,1,149,0.7%,"No
"
329,PCDH7,2,2,149,1.3%,"No
"
330,DCLRE1C,1,1,149,0.7%,"No
"
331,ARHGEF6,1,1,149,0.7%,"No
"
332,WASF2,1,1,149,0.7%,"No
"
333,ZNF491,1,1,149,0.7%,"No
"
334,CNNM4,1,1,149,0.7%,"No
"
335,TTF1,1,1,149,0.7%,"No
"
336,AP3B2,1,1,149,0.7%,"No
"
337,TTN,6,6,149,4.0%,"No
"
338,TTK,1,1,149,0.7%,"No
"
339,NAXE,1,1,149,0.7%,"No
"
340,EGR4,1,1,149,0.7%,"No
"
341,KMT5B,1,1,149,0.7%,"No
"
342,EGR3,1,1,149,0.7%,"No
"
343,CAPN7,2,2,149,1.3%,"No
"
344,SLC25A13,1,1,149,0.7%,"No
"
345,KLK11,1,1,149,0.7%,"No
"
346,PARP14,1,1,149,0.7%,"No
"
347,PAF1,1,1,149,0.7%,"No
"
348,MORN1,1,1,149,0.7%,"No
"
349,KCTD8,1,1,149,0.7%,"No
"
350,RDH13,1,1,149,0.7%,"No
"
351,CHST3,1,1,149,0.7%,"No
"
352,TULP3,1,1,149,0.7%,"No
"
353,PCYT1B,1,1,149,0.7%,"No
"
354,SLC25A46,1,1,149,0.7%,"No
"
355,CAMKV,1,1,149,0.7%,"No
"
356,KREMEN1,1,1,149,0.7%,"No
"
357,ZNF567,1,1,149,0.7%,"No
"
358,CTTNBP2,1,1,149,0.7%,"No
"
359,NBPF10,2,2,149,1.3%,"No
"
360,CCR10,1,1,149,0.7%,"No
"
361,TYK2,1,1,149,0.7%,"Yes
"
362,TXNRD1,1,1,149,0.7%,"No
"
363,ROCK2,1,1,149,0.7%,"No
"
364,OR4A5,1,1,149,0.7%,"No
"
365,ZNF682,1,1,149,0.7%,"No
"
366,SNX19,1,1,149,0.7%,"No
"
367,AUNIP,1,1,149,0.7%,"No
"
368,CTNND1,2,2,149,1.3%,"No
"
369,ZWILCH,1,1,149,0.7%,"No
"
370,KCNV1,1,1,149,0.7%,"No
"
371,CTSD,1,1,149,0.7%,"No
"
372,IFT172,1,1,149,0.7%,"No
"
373,ARSI,1,1,149,0.7%,"No
"
374,ADGRG5,1,1,149,0.7%,"No
"
375,SLC25A27,1,1,149,0.7%,"No
"
376,INTS15,1,1,149,0.7%,"No
"
377,SLC8B1,1,1,149,0.7%,"No
"
378,ELAVL4,1,1,149,0.7%,"No
"
379,PVRIG,1,1,149,0.7%,"No
"
380,DDX54,2,2,149,1.3%,"No
"
381,SPC24,1,1,149,0.7%,"No
"
382,CCDC142,1,1,149,0.7%,"No
"
383,TMEM62,1,1,149,0.7%,"No
"
384,IL21R,1,1,149,0.7%,"Yes
"
385,FAM170A,1,1,149,0.7%,"No
"
386,CTSV,1,1,149,0.7%,"No
"
387,TAF1B,1,1,149,0.7%,"No
"
388,TAF1C,1,1,149,0.7%,"No
"
389,RNF31,1,1,149,0.7%,"No
"
390,UACA,1,1,149,0.7%,"No
"
391,PCIF1,1,1,149,0.7%,"No
"
392,FOXN4,1,1,149,0.7%,"No
"
393,CTSW,1,1,149,0.7%,"No
"
394,ITPR1,2,2,149,1.3%,"No
"
395,DGLUCY,2,2,149,1.3%,"No
"
396,ARHGAP30,1,1,149,0.7%,"No
"
397,RNF8,1,1,149,0.7%,"No
"
398,KANSL1L,1,1,149,0.7%,"No
"
399,PCLO,4,4,149,2.7%,"Yes
"
400,LDLRAP1,1,1,149,0.7%,"No
"
401,JAK2,1,1,149,0.7%,"Yes
"
402,GPR39,1,1,149,0.7%,"No
"
403,ERC1,1,1,149,0.7%,"Yes
"
404,CECR2,1,1,149,0.7%,"No
"
405,EXPH5,1,1,149,0.7%,"No
"
406,GPR37,1,1,149,0.7%,"No
"
407,ITPR3,1,1,149,0.7%,"No
"
408,JAG2,1,1,149,0.7%,"No
"
409,ANO7,2,2,149,1.3%,"No
"
410,SYMPK,1,1,149,0.7%,"No
"
411,BAZ1B,1,1,149,0.7%,"No
"
412,KCTD15,1,1,149,0.7%,"No
"
413,GPX1,1,1,149,0.7%,"No
"
414,CSRNP3,2,2,149,1.3%,"No
"
415,KIF1B,2,2,149,1.3%,"No
"
416,SECISBP2,1,1,149,0.7%,"No
"
417,CYP1A1,2,2,149,1.3%,"No
"
418,RAP1B,1,1,149,0.7%,"No
"
419,EPC2,1,1,149,0.7%,"No
"
420,JARID2,3,3,149,2.0%,"Yes
"
421,AGBL4,1,1,149,0.7%,"No
"
422,RAN,1,1,149,0.7%,"No
"
423,CYP2A6,1,1,149,0.7%,"No
"
424,RANBP2,1,1,149,0.7%,"Yes
"
425,ZNF433,1,1,149,0.7%,"No
"
426,GRIA1,1,1,149,0.7%,"No
"
427,SLC4A10,1,1,149,0.7%,"No
"
428,RAPGEF1,1,1,149,0.7%,"No
"
429,GRB14,1,1,149,0.7%,"No
"
430,ZNF609,1,1,149,0.7%,"No
"
431,GRB10,2,2,149,1.3%,"No
"
432,KCNA4,1,1,149,0.7%,"No
"
433,GRB7,1,1,149,0.7%,"No
"
434,ACSM2A,1,1,149,0.7%,"No
"
435,SETX,2,2,149,1.3%,"No
"
436,CAND2,1,1,149,0.7%,"No
"
437,DHRS7C,1,1,149,0.7%,"No
"
438,ATF7IP2,1,1,149,0.7%,"No
"
439,ADAMTS5,1,1,149,0.7%,"No
"
440,MAP7,1,1,149,0.7%,"No
"
441,KCNC3,1,1,149,0.7%,"No
"
